S.No,Symbol,Conf.,Open,High,Low,Close,LTP,Close - LTP,Close - LTP %,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,52 Weeks High,52 Weeks Low
1,ADBL,24.13,280.00,285.00,280.00,284.18,283.50,0.68,0.00,284.02,19789.00,285.52,5620534.70,159,-1.34,5.00,-0.47,1.79,0.06,428.40,256.00
2,CZBIL,28.34,206.00,206.00,201.40,202.24,204.00,-1.76,-0.01,203.11,152571.00,203.14,30988085.00,304,-0.90,4.60,-0.44,2.28,-0.43,296.00,160.10
3,EBL,23.12,635.00,640.00,634.00,636.45,637.90,-1.45,0.00,637.28,30898.00,637.73,19690564.20,157,-1.28,6.00,-0.20,0.95,-0.13,790.00,511.00
4,GBIME,23.10,230.10,233.80,230.00,230.14,230.10,0.04,0.00,230.63,148454.00,231.60,34237341.20,534,-1.46,3.80,-0.63,1.65,-0.21,302.00,170.00
5,HBL,24.22,220.60,220.60,215.00,215.29,215.50,-0.21,0.00,216.19,51276.00,216.32,11085149.50,191,-1.03,5.60,-0.48,2.60,-0.42,312.10,172.10
6,KBL,26.92,207.00,207.00,202.10,203.66,203.50,0.16,0.00,203.53,218001.00,204.53,44370217.30,630,-0.87,4.90,-0.43,2.42,0.06,272.90,133.20
7,LSL,19.02,217.80,217.80,210.30,212.01,212.00,0.01,0.00,211.54,65999.00,213.57,13961569.90,178,-1.56,7.50,-0.73,3.57,0.22,300.00,147.70
8,MBL,22.97,218.00,220.00,215.50,215.93,215.80,0.13,0.00,216.56,53802.00,217.29,11651625.90,162,-1.36,4.50,-0.63,2.09,-0.29,295.00,164.20
9,NABIL,31.92,494.80,494.80,487.00,489.04,490.00,-0.96,0.00,489.28,78016.00,489.97,38171293.10,473,-0.93,7.80,-0.19,1.60,-0.05,700.00,450.00
10,NBL,41.75,258.00,258.00,252.00,252.46,252.00,0.46,0.00,253.71,61113.00,254.20,15504841.80,225,-1.74,6.00,-0.68,2.38,-0.49,337.50,202.00
11,NICA,27.55,344.90,345.90,337.20,340.63,340.50,0.13,0.00,338.76,177028.00,341.66,59969152.00,582,-1.03,8.70,-0.30,2.58,0.55,573.00,335.50
12,NIMB,24.78,210.00,211.00,207.00,207.47,207.00,0.47,0.00,208.51,86450.00,208.89,18025372.70,360,-1.42,4.00,-0.68,1.93,-0.50,295.00,149.20
13,NMB,26.09,238.50,238.70,236.10,236.60,237.80,-1.20,-0.01,237.44,51081.00,238.41,12128681.10,175,-1.81,2.60,-0.76,1.10,-0.36,300.00,179.30
14,PCBL,30.15,238.90,239.10,237.00,237.47,238.00,-0.53,0.00,238.11,40306.00,238.48,9597235.90,149,-1.01,2.10,-0.42,0.89,-0.27,329.00,190.10
15,PRVU,25.83,205.00,205.00,202.10,202.35,202.60,-0.25,0.00,203.00,162291.00,204.34,32944318.30,478,-1.99,2.90,-0.97,1.43,-0.32,297.00,137.00
16,SANIMA,28.08,315.20,317.90,315.10,315.52,315.60,-0.08,0.00,316.40,72985.00,317.50,23092424.10,204,-1.98,2.80,-0.62,0.89,-0.28,382.00,240.00
17,SBI,25.66,394.90,394.90,380.50,385.56,389.00,-3.44,-0.01,386.80,30944.00,387.96,11969198.70,139,-2.40,14.40,-0.62,3.78,-0.32,549.00,282.30
18,SBL,30.84,312.50,312.50,307.00,307.40,308.50,-1.10,0.00,308.84,81975.00,309.79,25317504.00,137,-2.39,5.50,-0.77,1.79,-0.47,380.00,237.00
19,SCB,35.47,610.00,614.90,610.00,612.88,611.50,1.38,0.00,613.43,12495.00,614.72,7664841.80,120,-1.84,4.90,-0.30,0.80,-0.09,790.00,549.00
