S.No,Symbol,Conf.,Open,High,Low,Close,LTP,Close - LTP,Close - LTP %,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,52 Weeks High,52 Weeks Low
1,ADBL,52.69,305.00,311.00,300.00,309.00,309.00,0.00,0.00,307.87,140917.00,303.00,43384695.30,640,6.00,11.00,1.98,3.67,0.36,428.40,223.00
2,CZBIL,52.69,224.00,229.80,221.00,229.80,229.80,0.00,0.00,224.94,205915.00,219.70,46318094.40,592,10.10,8.80,4.60,3.98,2.12,296.00,152.50
3,EBL,47.12,620.00,645.10,620.00,642.30,642.30,0.00,0.00,640.65,45742.00,632.50,29304807.80,356,9.80,25.10,1.55,4.05,0.26,790.00,487.30
4,GBIME,52.69,234.60,235.00,228.00,235.00,235.00,0.00,0.00,231.94,435379.00,230.00,100980249.30,1291,5.00,7.00,2.17,3.07,1.30,302.00,170.00
5,HBL,50.66,255.00,258.00,251.40,254.10,254.10,0.00,0.00,253.88,118646.00,250.00,30121512.60,408,4.10,6.60,1.64,2.63,0.09,312.10,167.10
6,KBL,49.68,221.00,223.20,217.00,222.80,222.80,0.00,0.00,220.72,495246.00,219.00,109311695.60,1431,3.80,6.20,1.74,2.86,0.93,272.90,129.60
7,LSL,40.01,237.10,240.00,236.00,239.90,239.90,0.00,0.00,238.03,205026.00,232.50,48801397.90,384,7.40,4.00,3.18,1.69,0.78,300.00,143.60
8,MBL,52.40,244.00,248.00,235.80,247.00,247.00,0.00,0.00,241.66,342036.00,240.60,82654811.40,663,6.40,12.20,2.66,5.17,2.16,295.00,157.80
9,NABIL,50.43,511.80,519.00,506.00,519.00,519.00,0.00,0.00,513.57,114489.00,501.80,58797746.20,1032,17.20,13.00,3.43,2.57,1.05,700.00,419.00
10,NBL,50.06,268.20,271.00,264.10,271.00,271.00,0.00,0.00,267.45,120013.00,263.00,32096943.10,509,8.00,6.90,3.04,2.61,1.31,337.50,195.10
11,NICA,51.56,406.00,410.90,392.00,410.00,410.00,0.00,0.00,403.33,158503.00,399.00,63928991.90,876,11.00,18.90,2.76,4.82,1.63,573.00,341.60
12,NIMB,48.83,233.50,234.50,229.00,233.50,233.50,0.00,0.00,231.03,330159.00,229.00,76276429.30,917,4.50,5.50,1.97,2.40,1.06,295.00,147.40
13,NMB,52.59,268.20,268.20,262.00,267.50,267.50,0.00,0.00,265.00,310389.00,263.00,82251805.60,643,4.50,6.20,1.71,2.37,0.94,300.00,162.00
14,PCBL,52.69,265.20,277.00,258.80,277.00,277.00,0.00,0.00,267.91,247339.00,260.00,66265016.90,645,17.00,18.20,6.54,7.03,3.28,329.00,186.00
15,PRVU,48.72,233.70,237.90,231.00,236.50,236.50,0.00,0.00,235.69,204816.00,231.10,48272746.70,792,5.40,6.90,2.34,2.99,0.34,297.00,132.00
16,SANIMA,51.23,323.80,325.00,318.00,322.80,322.80,0.00,0.00,320.60,169981.00,317.50,54496581.80,556,5.30,7.00,1.67,2.20,0.68,382.00,228.00
17,SBI,51.83,431.10,437.70,429.00,437.00,437.00,0.00,0.00,433.46,117170.00,430.00,50788309.60,270,7.00,8.70,1.63,2.03,0.81,549.00,268.60
18,SBL,50.28,294.90,310.00,294.90,309.00,309.00,0.00,0.00,305.84,103551.00,300.90,31670357.00,396,8.10,15.10,2.69,5.12,1.02,380.00,212.20
19,SCB,51.57,672.00,683.00,670.00,683.00,683.00,0.00,0.00,677.21,56955.00,672.30,38570266.20,346,10.70,13.00,1.59,1.94,0.85,790.00,497.40
