S.No,Symbol,Conf.,Open,High,Low,Close,LTP,Close - LTP,Close - LTP %,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,52 Weeks High,52 Weeks Low
1,ADBL,31.61,334.00,334.00,325.00,325.50,325.90,-0.40,0.00,326.91,25961.00,327.47,8487008.40,195,-1.97,9.00,-0.60,2.77,-0.43,400.00,272.30
2,CZBIL,33.92,212.90,212.90,206.50,207.14,207.90,-0.76,0.00,207.83,20699.00,208.78,4301830.90,102,-1.64,6.40,-0.79,3.10,-0.33,265.30,196.00
3,EBL,33.34,780.60,780.60,760.00,761.41,760.20,1.21,0.00,765.31,79636.00,765.33,60946260.90,458,-3.92,20.60,-0.51,2.71,-0.51,780.60,567.00
4,GBIME,35.87,256.30,256.30,250.00,251.15,251.60,-0.45,0.00,251.17,100272.00,251.35,25185695.90,330,-0.20,6.30,-0.08,2.52,-0.01,278.90,210.70
5,HBL,39.97,202.00,206.00,198.00,202.43,202.80,-0.37,0.00,202.63,480490.00,206.09,97360470.20,32335,-3.66,8.00,-1.78,4.04,-0.10,286.00,198.00
6,KBL,35.70,202.00,203.80,196.70,197.79,199.00,-1.21,-0.01,199.27,338195.00,201.52,67392005.20,848,-3.73,7.10,-1.85,3.61,-0.75,253.50,192.10
7,LSL,28.10,238.80,238.80,231.00,232.28,232.00,0.28,0.00,233.92,122501.00,234.12,28655039.90,242,-1.84,7.80,-0.79,3.38,-0.70,274.90,201.00
8,MBL,43.39,255.70,255.70,249.80,251.01,251.00,0.01,0.00,251.28,142772.00,250.73,35875101.00,185,0.28,5.90,0.11,2.36,-0.11,290.00,208.60
9,NABIL,28.05,538.20,538.20,523.30,523.75,523.50,0.25,0.00,526.11,34983.00,527.66,18405010.20,371,-3.91,14.90,-0.74,2.85,-0.45,623.00,474.10
10,NBL,34.85,256.60,256.60,250.00,250.64,250.20,0.44,0.00,250.70,63455.00,251.65,15908196.70,261,-1.01,6.60,-0.40,2.64,-0.02,313.00,239.20
11,NICA,35.07,357.00,357.00,345.00,345.15,345.20,-0.05,0.00,348.36,45243.00,350.02,15760942.60,293,-4.87,12.00,-1.39,3.48,-0.93,512.00,333.00
12,NIMB,35.96,213.90,214.20,208.00,208.78,208.80,-0.02,0.00,209.70,88196.00,209.77,18494730.00,277,-0.99,6.20,-0.47,2.98,-0.44,264.90,201.00
13,NMB,42.70,258.50,258.50,250.20,253.80,254.90,-1.10,0.00,252.80,63662.00,253.45,16093963.40,169,0.35,8.30,0.14,3.32,0.39,288.00,230.00
14,PCBL,33.66,259.10,259.10,252.50,254.03,254.00,0.03,0.00,254.21,58899.00,254.04,14972458.00,140,-0.01,6.60,0.00,2.61,-0.07,305.70,229.50
15,PRVU,32.92,216.70,216.70,208.90,209.33,210.00,-0.67,0.00,210.73,68060.00,212.48,14342503.70,299,-3.15,7.80,-1.48,3.73,-0.67,273.00,194.10
16,SANIMA,41.31,379.70,379.70,371.50,373.72,372.40,1.32,0.00,373.75,121644.00,372.30,45464892.80,444,1.42,8.20,0.38,2.21,-0.01,391.00,285.00
17,SBI,43.64,402.10,402.10,395.60,396.48,397.80,-1.32,0.00,397.66,32178.00,394.26,12795772.10,153,2.22,6.50,0.56,1.64,-0.30,549.00,372.20
18,SBL,44.21,396.50,398.80,385.40,389.22,391.90,-2.68,-0.01,391.19,171936.00,388.77,67259564.50,499,0.45,13.40,0.12,3.48,-0.51,408.00,261.00
19,SCB,47.79,670.00,679.30,657.00,661.75,661.00,0.75,0.00,666.94,119242.00,659.97,79527616.70,427,1.78,22.30,0.27,3.39,-0.78,779.20,597.10
