S.No,Symbol,Conf.,Open,High,Low,Close,LTP,Close - LTP,Close - LTP %,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,52 Weeks High,52 Weeks Low
1,ADBL,-,476.00,480.00,472.00,473.00,473.00,0.00,0.00,474.72,"2,511.00",476.00,"1,192,029.00",27,-3.00,8.00,0.00,1.69,-0.36,0.00,0.00
2,CZBIL,-,430.00,441.00,425.00,434.00,434.00,0.00,0.00,435.50,"7,729.00",430.00,"3,366,003.00",34,4.00,16.00,0.00,3.76,-0.35,0.00,0.00
3,EBL,-,"1,973.00","2,000.00","1,900.00","1,981.00","1,981.00",0.00,0.00,"1,966.60","5,464.00","1,973.00","10,745,479.00",37,8.00,100.00,0.00,5.26,0.73,0.00,0.00
4,GBIME,-,501.00,510.00,500.00,503.00,503.00,0.00,0.00,503.68,"16,983.00",501.00,"8,553,925.00",60,2.00,10.00,0.00,2.00,-0.13,0.00,0.00
5,HBL,-,805.00,815.00,807.00,815.00,815.00,0.00,0.00,809.56,409.00,805.00,"331,112.00",4,10.00,8.00,0.00,0.99,0.67,0.00,0.00
6,KBL,-,373.00,388.00,377.00,377.00,377.00,0.00,0.00,381.95,"2,267.00",373.00,"865,881.00",14,4.00,11.00,0.00,2.92,-1.31,0.00,0.00
7,MBL,-,554.00,557.00,535.00,546.00,546.00,0.00,0.00,549.17,"15,036.00",554.00,"8,257,258.00",35,-8.00,22.00,0.00,4.11,-0.58,0.00,0.00
8,NABIL,-,"1,885.00","1,901.00","1,880.00","1,890.00","1,890.00",0.00,0.00,"1,885.79","1,201.00","1,885.00","2,264,832.00",8,5.00,21.00,0.00,1.12,0.22,0.00,0.00
9,NBL,-,342.00,348.00,341.00,344.00,344.00,0.00,0.00,344.64,"17,190.00",342.00,"5,924,286.00",35,2.00,7.00,0.00,2.05,-0.18,0.00,0.00
10,NICA,-,658.00,680.00,660.00,670.00,670.00,0.00,0.00,668.21,"4,341.00",658.00,"2,900,681.00",39,12.00,20.00,0.00,3.03,0.27,0.00,0.00
11,PCBL,-,441.00,453.00,442.00,442.00,442.00,0.00,0.00,448.29,"3,344.00",441.00,"1,499,075.00",25,1.00,11.00,0.00,2.49,-1.42,0.00,0.00
12,PRVU,-,271.00,276.00,268.00,271.00,271.00,0.00,0.00,271.83,"52,836.00",271.00,"14,362,285.00",215,0.00,8.00,0.00,2.99,-0.31,0.00,0.00
13,SANIMA,-,535.00,570.00,535.00,545.00,545.00,0.00,0.00,542.83,"8,924.00",535.00,"4,844,213.00",39,10.00,35.00,0.00,6.54,0.40,0.00,0.00
14,SBI,-,934.00,954.00,950.00,954.00,954.00,0.00,0.00,951.27,"1,471.00",934.00,"1,399,312.00",11,20.00,4.00,0.00,0.42,0.29,0.00,0.00
15,SBL,-,660.00,671.00,659.00,664.00,664.00,0.00,0.00,664.12,"7,609.00",660.00,"5,053,252.00",27,4.00,12.00,0.00,1.82,-0.02,0.00,0.00
16,SCB,-,"1,925.00","1,946.00","1,940.00","1,945.00","1,945.00",0.00,0.00,"1,944.12",249.00,"1,925.00","484,086.00",4,20.00,6.00,0.00,0.31,0.05,0.00,0.00
